,K-O,Hi-Lo,Hi-Opt I,Hi-Opt II,Knock-Out,KISS,Zen,Omega II,Red 7,Wizard Ace,Halves,No Strategy,set_number
1999,50.1211,50.1147,50.4411,50.3667,49.6545,49.8821,50.8814,50.4806,49.9153,50.6687,50.1689,49.7806,0.0
1999,50.0586,50.2808,50.3495,50.2134,50.3954,50.154,50.03,50.4017,50.2113,50.445,50.3401,50.2782,1.0
1999,50.2765,50.5446,50.1563,50.3983,50.0545,50.7869,50.2663,50.3096,50.269,50.6203,50.4808,49.7256,2.0
1999,50.4391,50.1716,50.6859,50.499,50.317,50.2212,50.198,49.7859,50.2637,50.5038,50.3443,50.0324,3.0
1999,50.4963,50.026,50.7623,50.3223,50.462,50.5168,50.3554,50.6976,50.0893,50.155,50.0619,50.0722,4.0
1999,50.5702,50.6077,50.5501,50.4775,50.2591,50.4084,50.2878,50.454,50.3448,50.228,50.3451,49.8067,5.0
1999,50.1202,50.3699,50.9853,50.4025,50.3386,50.0913,50.2722,50.2149,50.0214,50.2366,50.1125,50.1627,6.0
1999,50.1824,50.6482,50.2183,50.203,50.02,50.5058,50.1734,50.0036,50.4376,50.4534,50.3476,50.4699,7.0
1999,50.1684,50.7287,50.6818,50.2138,50.4247,50.1881,50.3581,50.1138,50.3892,50.4659,50.6833,50.383,8.0
1999,50.4676,50.4605,50.5631,50.3639,50.1516,50.599,50.2703,50.3505,50.5768,49.9868,50.0387,49.9205,9.0
1999,50.3789,50.2148,50.4096,49.9795,50.2904,49.921,50.5004,50.2061,50.4535,50.1815,50.0351,50.0745,10.0
1999,50.0413,50.2336,50.2946,50.5299,49.8084,50.0566,50.1853,50.1425,50.5786,50.5074,50.2858,50.6543,11.0
1999,50.0636,49.9909,50.0009,50.1739,49.9719,50.2311,50.5284,50.286,50.453,50.4849,49.853,50.1157,12.0
1999,49.6581,50.5445,50.534,50.0751,50.2086,50.0626,50.4145,49.9786,50.2155,50.3148,50.3296,50.0924,13.0
1999,50.2671,50.4298,50.6427,50.4626,50.2259,50.1105,50.3192,49.6147,50.4876,50.7592,50.5386,50.3614,14.0
1999,50.2572,50.1876,50.4537,50.1842,50.2399,50.11,50.198,50.6321,49.8588,50.6633,50.9671,50.4508,15.0
1999,50.4324,50.4126,50.4456,50.3433,50.1902,50.2826,50.0651,50.6419,50.1043,49.8532,49.9823,50.0059,16.0
1999,50.0399,50.142,50.4823,50.336,50.6077,50.3089,49.8152,50.1958,50.183,50.7598,50.8973,50.2695,17.0
1999,50.3025,50.2873,50.2075,50.0364,50.2166,50.1246,50.2253,50.7385,50.5483,49.6416,50.2276,49.6717,18.0
1999,49.9211,50.3537,50.6938,50.152,50.3754,50.053,50.3414,50.1666,50.5729,50.3533,50.0642,50.0224,19.0
1999,50.2287,50.2814,50.6924,50.5101,49.8464,50.363,50.3523,50.2167,50.3219,50.0811,50.3825,50.5757,20.0
1999,50.4473,50.3865,50.2541,50.3068,50.4699,50.463,50.2225,49.955,50.2864,50.3928,50.4923,49.7114,21.0
1999,50.0717,49.9317,50.3289,49.8226,50.2583,49.9594,50.2108,50.3523,50.5127,50.2097,50.4814,50.1558,22.0
1999,50.0871,50.3148,50.2104,50.4643,50.2542,50.6042,49.8037,50.5187,50.2355,50.1061,49.7428,50.2823,23.0
1999,49.9306,50.3296,50.1201,50.3585,49.8497,50.3091,50.4284,50.0173,50.3011,50.3292,50.2664,49.7286,24.0
1999,50.0953,49.8733,50.2072,50.4923,50.3833,49.9593,50.7075,49.868,50.5876,50.1526,50.647,50.3993,25.0
1999,50.2459,50.269,50.7769,50.4513,50.8379,49.8945,50.1001,50.4307,50.2798,50.3331,50.7113,50.1901,26.0
1999,49.9932,49.8361,50.1961,50.4245,50.3225,50.011,50.6516,50.3206,50.0455,50.1258,50.207,50.1283,27.0
1999,50.0172,50.2582,50.25,50.4246,50.4661,50.2255,50.2412,49.975,50.041,50.2266,50.2658,50.3927,28.0
1999,50.4853,50.1449,50.4209,50.3208,50.0821,50.1417,50.3288,50.2849,50.34,50.0301,50.0055,50.7039,29.0
